427, 2007-01-02, [11, 13, 15, 16, 19, 21]
428, 2007-01-04, [1, 3, 7, 12, 14, 35]
429, 2007-01-08, [3, 8, 12, 16, 30, 39]
430, 2007-01-11, [12, 14, 18, 19, 22, 38]
431, 2007-01-15, [1, 3, 10, 13, 37, 41]
432, 2007-01-18, [11, 16, 28, 29, 35, 40]
433, 2007-01-22, [10, 15, 19, 23, 27, 39]
434, 2007-01-26, [1, 4, 6, 15, 29, 41]
435, 2007-01-29, [14, 16, 19, 20, 33, 38]
436, 2007-02-01, [3, 5, 6, 22, 25, 39]
437, 2007-02-05, [4, 5, 8, 15, 29, 32]
438, 2007-02-08, [9, 11, 15, 20, 27, 33]
439, 2007-02-12, [10, 15, 17, 18, 24, 39]
440, 2007-02-15, [1, 13, 19, 29, 30, 36]
441, 2007-02-19, [1, 14, 20, 22, 35, 36]
442, 2007-02-22, [4, 21, 23, 29, 32, 37]
443, 2007-02-26, [12, 13, 17, 21, 24, 25]
444, 2007-03-01, [7, 23, 24, 26, 27, 30]
445, 2007-03-05, [3, 20, 30, 31, 38, 40]
446, 2007-03-08, [2, 9, 15, 22, 24, 42]
447, 2007-03-12, [6, 8, 13, 17, 19, 32]
448, 2007-03-15, [11, 13, 14, 32, 38, 39]
449, 2007-03-19, [14, 15, 25, 28, 29, 39]
450, 2007-03-22, [7, 20, 21, 25, 37, 38]
451, 2007-03-26, [1, 10, 19, 20, 23, 41]
452, 2007-03-29, [1, 16, 28, 33, 34, 39]
453, 2007-04-02, [16, 19, 24, 29, 32, 34]
454, 2007-04-05, [15, 28, 32, 35, 36, 42]
455, 2007-04-10, [1, 3, 23, 28, 30, 39]
456, 2007-04-12, [7, 10, 15, 18, 24, 35]
457, 2007-04-16, [8, 12, 21, 30, 35, 42]
458, 2007-04-19, [3, 8, 9, 11, 17, 28]
459, 2007-04-23, [2, 13, 21, 28, 34, 37]
460, 2007-04-26, [4, 15, 26, 28, 30, 42]
461, 2007-04-30, [2, 12, 13, 29, 37, 42]
462, 2007-05-07, [13, 20, 21, 30, 32, 36]
463, 2007-05-07, [13, 20, 21, 30, 32, 36]
464, 2007-05-10, [5, 9, 17, 18, 20, 26]
465, 2007-05-14, [4, 7, 14, 27, 32, 42]
466, 2007-05-17, [7, 13, 15, 24, 32, 37]
467, 2007-05-21, [2, 4, 6, 7, 25, 28]
468, 2007-05-24, [1, 13, 20, 30, 33, 39]
469, 2007-05-28, [12, 15, 19, 26, 33, 39]
470, 2007-05-31, [13, 15, 25, 29, 31, 34]
471, 2007-06-04, [21, 24, 27, 35, 36, 40]
472, 2007-06-08, [6, 7, 13, 17, 21, 37]
473, 2007-06-11, [6, 16, 28, 29, 30, 31]
474, 2007-06-15, [12, 17, 22, 24, 37, 41]
475, 2007-06-18, [3, 9, 17, 19, 27, 40]
476, 2007-06-22, [6, 11, 13, 18, 34, 42]
477, 2007-06-25, [20, 21, 25, 32, 40, 41]
478, 2007-06-28, [9, 15, 18, 36, 38, 42]
479, 2007-07-02, [7, 9, 14, 22, 23, 37]
