Content of 2002.txt:
1, 2002-12-02, [7, 8, 11, 20, 25, 32]
2, 2002-12-05, [5, 13, 19, 21, 28, 42]
3, 2002-12-09, [4, 10, 18, 35, 36, 38]
4, 2002-12-12, [8, 16, 17, 23, 29, 32]
5, 2002-12-16, [4, 7, 10, 16, 27, 41]
6, 2002-12-19, [11, 14, 16, 22, 28, 30]
7, 2002-12-23, [14, 15, 18, 26, 28, 35]
8, 2002-12-26, [8, 14, 19, 22, 31, 37]
9, 2002-12-30, [3, 6, 9, 13, 14, 17]


Content of 2003.txt:
10, 2003-01-02, [18, 22, 25, 30, 36, 42]
11, 2003-01-06, [9, 11, 15, 29, 31, 41]
12, 2003-01-09, [4, 20, 21, 22, 23, 28]
13, 2003-01-13, [10, 18, 24, 33, 38, 40]
14, 2003-01-16, [3, 4, 17, 27, 34, 40]
15, 2003-01-20, [14, 15, 19, 27, 29, 39]
16, 2003-01-23, [4, 11, 12, 17, 27, 35]
17, 2003-01-27, [2, 5, 16, 17, 29, 40]
18, 2003-01-30, [8, 24, 25, 31, 38, 41]
19, 2003-02-03, [3, 17, 21, 23, 30, 39]
20, 2003-02-06, [10, 19, 23, 33, 39, 42]
21, 2003-02-10, [1, 9, 11, 26, 28, 30]
22, 2003-02-13, [4, 5, 10, 28, 38, 41]
23, 2003-02-17, [9, 11, 17, 18, 22, 25]
24, 2003-02-20, [4, 9, 13, 14, 23, 37]
25, 2003-02-24, [6, 15, 28, 29, 33, 35]
26, 2003-02-27, [10, 11, 12, 14, 25, 32]
27, 2003-03-03, [6, 13, 21, 25, 26, 36]
28, 2003-03-06, [7, 13, 22, 23, 31, 38]
29, 2003-03-10, [4, 7, 11, 20, 29, 38]
30, 2003-03-13, [12, 15, 22, 26, 37, 42]
31, 2003-03-17, [17, 26, 30, 35, 37, 41]
32, 2003-03-20, [6, 10, 13, 22, 29, 36]
33, 2003-03-24, [8, 12, 16, 17, 33, 40]
34, 2003-03-27, [1, 12, 25, 31, 40, 41]
35, 2003-03-31, [3, 4, 6, 12, 16, 19]
36, 2003-04-03, [1, 6, 21, 24, 38, 42]
37, 2003-04-07, [4, 6, 7, 20, 23, 36]
38, 2003-04-10, [15, 19, 26, 31, 36, 37]
39, 2003-04-14, [3, 23, 24, 36, 37, 39]
40, 2003-04-17, [1, 4, 8, 12, 13, 36]
41, 2003-04-21, [3, 9, 14, 15, 24, 41]
42, 2003-04-24, [4, 27, 29, 33, 37, 39]
43, 2003-04-28, [1, 9, 15, 29, 35, 41]
44, 2003-05-01, [3, 12, 23, 29, 31, 32]
45, 2003-05-05, [2, 3, 8, 25, 30, 37]
46, 2003-05-08, [1, 10, 21, 23, 37, 40]
47, 2003-05-12, [1, 7, 17, 26, 28, 38]
48, 2003-05-15, [1, 3, 20, 29, 40, 42]
49, 2003-05-19, [8, 11, 15, 18, 23, 38]
50, 2003-05-22, [1, 4, 21, 22, 33, 37]
51, 2003-05-26, [15, 18, 24, 30, 36, 38]
52, 2003-05-29, [5, 14, 15, 19, 30, 34]
53, 2003-06-02, [4, 20, 25, 34, 35, 40]
54, 2003-06-05, [9, 22, 25, 34, 41, 42]
55, 2003-06-09, [1, 6, 21, 23, 25, 42]
56, 2003-06-12, [12, 15, 16, 32, 33, 36]
57, 2003-06-16, [3, 19, 27, 31, 35, 41]
58, 2003-06-19, [5, 11, 14, 19, 25, 32]
59, 2003-06-23, [6, 10, 14, 15, 33, 37]
60, 2003-06-26, [2, 3, 16, 27, 28, 35]
61, 2003-06-30, [7, 12, 20, 27, 28, 29]
62, 2003-07-03, [6, 10, 11, 24, 26, 37]
63, 2003-07-07, [7, 8, 16, 31, 32, 42]
64, 2003-07-10, [8, 10, 24, 26, 28, 36]
65, 2003-07-14, [9, 18, 29, 34, 38, 42]
66, 2003-07-17, [5, 18, 30, 33, 35, 41]
67, 2003-07-21, [10, 19, 21, 25, 28, 41]
68, 2003-07-24, [1, 3, 12, 17, 22, 39]
69, 2003-07-28, [3, 5, 16, 23, 28, 34]
70, 2003-07-31, [9, 12, 15, 17, 25, 27]
71, 2003-08-04, [1, 3, 15, 19, 31, 36]
72, 2003-08-07, [22, 23, 25, 32, 34, 38]
73, 2003-08-11, [2, 5, 14, 15, 26, 34]
74, 2003-08-14, [3, 4, 9, 24, 34, 35]
75, 2003-08-18, [1, 6, 9, 30, 31, 39]
76, 2003-08-21, [10, 14, 20, 22, 32, 38]
77, 2003-08-25, [8, 20, 22, 25, 35, 41]
78, 2003-08-28, [9, 10, 15, 25, 40, 42]
79, 2003-09-01, [3, 10, 11, 15, 34, 36]
80, 2003-09-04, [2, 10, 14, 17, 19, 34]
81, 2003-09-08, [3, 7, 10, 22, 33, 34]
82, 2003-09-11, [7, 9, 13, 17, 35, 39]
83, 2003-09-15, [4, 12, 17, 23, 26, 27]
84, 2003-09-18, [6, 13, 14, 19, 23, 39]
85, 2003-09-22, [2, 3, 18, 21, 30, 34]
86, 2003-09-25, [13, 17, 21, 25, 31, 41]
87, 2003-09-29, [8, 18, 19, 22, 28, 32]
88, 2003-10-02, [13, 16, 19, 24, 32, 34]
89, 2003-10-06, [4, 9, 14, 16, 24, 30]
90, 2003-10-09, [3, 6, 9, 16, 17, 42]
91, 2003-10-13, [9, 19, 24, 35, 36, 39]
92, 2003-10-16, [1, 4, 10, 26, 28, 41]
93, 2003-10-20, [14, 21, 25, 28, 31, 33]
94, 2003-10-23, [15, 16, 18, 20, 28, 34]
95, 2003-10-27, [2, 9, 14, 19, 39, 42]
96, 2003-10-30, [12, 19, 23, 24, 35, 38]
97, 2003-11-03, [2, 5, 7, 22, 28, 42]
98, 2003-11-06, [4, 8, 16, 19, 22, 36]
99, 2003-11-10, [10, 19, 30, 33, 39, 41]
100, 2003-11-13, [2, 4, 11, 24, 30, 36]
101, 2003-11-17, [2, 9, 15, 32, 38, 39]
102, 2003-11-20, [7, 11, 28, 29, 41, 42]
103, 2003-11-24, [3, 6, 14, 16, 22, 25]
104, 2003-11-27, [10, 11, 18, 20, 40, 41]
105, 2003-12-01, [1, 14, 23, 24, 36, 37]
106, 2003-12-04, [1, 12, 13, 25, 31, 42]
107, 2003-12-08, [16, 19, 22, 24, 25, 33]
108, 2003-12-11, [6, 7, 9, 16, 21, 25]
109, 2003-12-15, [8, 9, 10, 12, 19, 34]
110, 2003-12-18, [15, 21, 23, 28, 31, 41]
111, 2003-12-22, [9, 12, 14, 22, 25, 29]
112, 2003-12-25, [3, 9, 13, 23, 30, 32]
113, 2003-12-29, [3, 17, 22, 24, 29, 38]


Content of 2004.txt:
114, 2004-01-01, [1, 15, 22, 34, 39, 40]
115, 2004-01-05, [2, 3, 7, 8, 14, 38]
116, 2004-01-08, [3, 4, 7, 11, 19, 35]
117, 2004-01-12, [1, 5, 7, 23, 26, 40]
118, 2004-01-15, [4, 7, 17, 21, 26, 30]
119, 2004-01-19, [3, 5, 9, 30, 34, 41]
120, 2004-01-22, [8, 13, 22, 24, 28, 33]
121, 2004-01-26, [4, 10, 11, 21, 24, 27]
122, 2004-01-29, [2, 4, 6, 27, 36, 39]
123, 2004-02-02, [11, 15, 22, 28, 30, 36]
124, 2004-02-05, [2, 4, 7, 13, 20, 22]
125, 2004-02-09, [10, 13, 28, 29, 35, 39]
126, 2004-02-12, [5, 12, 18, 30, 31, 34]
127, 2004-02-16, [3, 15, 22, 33, 34, 42]
128, 2004-02-19, [5, 16, 17, 19, 20, 37]
129, 2004-02-23, [6, 16, 17, 21, 35, 39]
130, 2004-02-26, [7, 9, 10, 18, 24, 32]
131, 2004-03-01, [2, 5, 9, 32, 39, 42]
132, 2004-03-04, [2, 3, 28, 34, 36, 42]
133, 2004-03-08, [1, 4, 12, 20, 34, 41]
134, 2004-03-11, [1, 18, 24, 25, 26, 37]
135, 2004-03-15, [9, 17, 18, 29, 34, 42]
136, 2004-03-18, [17, 22, 24, 26, 34, 38]
137, 2004-03-22, [2, 4, 5, 10, 21, 37]
138, 2004-03-25, [13, 20, 27, 33, 37, 42]
139, 2004-03-29, [7, 15, 17, 24, 29, 40]
140, 2004-04-01, [13, 16, 22, 24, 27, 28]
141, 2004-04-05, [5, 9, 22, 26, 27, 32]
142, 2004-04-08, [1, 4, 12, 30, 36, 42]
143, 2004-04-12, [5, 8, 13, 22, 28, 32]
144, 2004-04-15, [5, 13, 16, 27, 29, 38]
145, 2004-04-19, [7, 23, 24, 33, 34, 38]
146, 2004-04-22, [4, 11, 18, 19, 35, 36]
147, 2004-04-26, [3, 4, 12, 17, 33, 39]
148, 2004-04-29, [2, 11, 16, 24, 28, 42]
149, 2004-05-03, [7, 13, 25, 27, 34, 41]
150, 2004-05-06, [2, 3, 5, 8, 27, 40]
151, 2004-05-10, [2, 13, 18, 21, 23, 32]
152, 2004-05-13, [3, 30, 32, 34, 35, 42]
153, 2004-05-17, [8, 10, 13, 33, 35, 36]
154, 2004-05-20, [8, 19, 23, 25, 31, 41]
155, 2004-05-24, [3, 4, 22, 23, 28, 35]
156, 2004-05-27, [8, 14, 21, 22, 24, 33]
157, 2004-05-31, [6, 7, 10, 17, 32, 36]
158, 2004-06-03, [2, 18, 21, 28, 30, 42]
159, 2004-06-07, [6, 14, 20, 25, 31, 41]
160, 2004-06-10, [10, 13, 15, 20, 27, 41]
161, 2004-06-14, [1, 3, 6, 20, 29, 35]
162, 2004-06-17, [3, 13, 18, 22, 27, 41]
163, 2004-06-21, [10, 22, 23, 36, 39, 42]
164, 2004-06-24, [6, 11, 15, 32, 34, 35]
165, 2004-06-28, [3, 22, 27, 29, 37, 42]
166, 2004-07-01, [6, 11, 18, 29, 30, 37]
167, 2004-07-05, [5, 18, 22, 23, 33, 40]
168, 2004-07-08, [5, 8, 9, 34, 38, 39]
169, 2004-07-12, [11, 13, 21, 31, 40, 42]
170, 2004-07-15, [2, 7, 8, 17, 27, 36]
171, 2004-07-19, [2, 5, 6, 7, 22, 30]
172, 2004-07-22, [1, 8, 11, 21, 26, 36]
173, 2004-07-26, [2, 15, 27, 28, 35, 42]
174, 2004-07-29, [11, 12, 20, 23, 28, 40]
175, 2004-08-02, [3, 9, 10, 12, 15, 31]
176, 2004-08-05, [9, 10, 11, 26, 28, 32]
177, 2004-08-09, [7, 16, 18, 31, 36, 42]
178, 2004-08-12, [3, 17, 18, 27, 36, 42]
179, 2004-08-16, [2, 24, 25, 30, 33, 41]
180, 2004-08-19, [4, 6, 10, 30, 34, 39]
181, 2004-08-23, [1, 9, 11, 17, 23, 39]
182, 2004-08-26, [2, 9, 20, 36, 38, 39]
183, 2004-08-30, [1, 3, 6, 7, 31, 34]
184, 2004-09-02, [5, 17, 20, 21, 32, 35]
185, 2004-09-06, [11, 12, 25, 28, 29, 35]
186, 2004-09-09, [9, 14, 20, 23, 27, 33]
187, 2004-09-13, [14, 23, 25, 28, 38, 39]
188, 2004-09-16, [1, 14, 19, 20, 38, 40]
189, 2004-09-20, [1, 3, 7, 34, 35, 42]
190, 2004-09-23, [8, 16, 20, 22, 37, 42]
191, 2004-09-27, [6, 11, 21, 28, 34, 40]
192, 2004-09-30, [12, 16, 22, 24, 36, 38]
193, 2004-10-04, [13, 17, 32, 33, 39, 42]
194, 2004-10-07, [10, 19, 24, 28, 35, 36]
195, 2004-10-11, [2, 11, 15, 20, 40, 41]
196, 2004-10-14, [1, 5, 11, 27, 29, 30]
197, 2004-10-18, [3, 4, 8, 11, 38, 40]
198, 2004-10-21, [1, 14, 18, 34, 35, 37]
199, 2004-10-25, [13, 16, 28, 31, 35, 42]
200, 2004-10-28, [2, 25, 27, 29, 33, 40]
201, 2004-11-01, [4, 15, 16, 20, 39, 42]
202, 2004-11-04, [2, 6, 16, 25, 33, 38]
203, 2004-11-08, [4, 8, 19, 22, 39, 42]
204, 2004-11-11, [8, 9, 10, 18, 19, 27]
205, 2004-11-15, [20, 21, 26, 30, 33, 39]
206, 2004-11-18, [8, 24, 27, 30, 38, 41]
207, 2004-11-22, [8, 20, 24, 25, 27, 36]
208, 2004-11-25, [13, 16, 31, 32, 36, 40]
209, 2004-11-29, [4, 9, 25, 26, 31, 42]
210, 2004-12-02, [1, 8, 10, 14, 21, 26]
211, 2004-12-06, [12, 14, 17, 21, 22, 29]
212, 2004-12-09, [3, 9, 12, 18, 23, 33]
213, 2004-12-13, [2, 21, 23, 25, 30, 35]
214, 2004-12-16, [7, 16, 18, 19, 21, 27]
215, 2004-12-20, [1, 3, 4, 9, 16, 29]
216, 2004-12-23, [6, 27, 29, 37, 40, 42]
217, 2004-12-27, [20, 25, 29, 33, 34, 37]
218, 2004-12-30, [8, 9, 13, 22, 32, 38]


Content of 2005.txt:
219, 2005-01-03, [9, 20, 23, 27, 33, 40]
220, 2005-01-06, [1, 12, 18, 20, 21, 34]
221, 2005-01-10, [4, 10, 24, 25, 30, 36]
222, 2005-01-13, [5, 14, 23, 27, 36, 38]
223, 2005-01-17, [2, 6, 18, 26, 29, 31]
224, 2005-01-20, [5, 7, 8, 12, 22, 33]
225, 2005-01-24, [4, 22, 29, 30, 32, 36]
226, 2005-01-27, [3, 7, 9, 14, 28, 32]
227, 2005-01-31, [6, 13, 16, 26, 29, 33]
228, 2005-02-03, [7, 13, 20, 23, 36, 38]
229, 2005-02-07, [1, 7, 19, 24, 32, 34]
230, 2005-02-10, [5, 18, 19, 33, 38, 42]
231, 2005-02-14, [15, 19, 30, 35, 39, 40]
232, 2005-02-17, [6, 8, 10, 15, 24, 25]
233, 2005-02-21, [8, 9, 14, 28, 29, 39]
234, 2005-02-24, [1, 7, 16, 30, 35, 36]
235, 2005-02-28, [11, 14, 17, 20, 27, 28]
236, 2005-03-03, [2, 6, 11, 14, 39, 41]
237, 2005-03-07, [7, 11, 12, 17, 23, 29]
238, 2005-03-10, [1, 4, 19, 28, 36, 37]
239, 2005-03-14, [3, 9, 13, 24, 35, 37]
240, 2005-03-17, [10, 19, 29, 30, 33, 36]
241, 2005-03-21, [4, 12, 15, 23, 27, 29]
242, 2005-03-24, [2, 4, 19, 26, 31, 34]
243, 2005-03-28, [7, 15, 21, 22, 23, 26]
244, 2005-03-31, [3, 9, 14, 20, 23, 42]
245, 2005-04-04, [3, 4, 20, 22, 24, 39]
246, 2005-04-07, [6, 9, 12, 14, 17, 39]
247, 2005-04-11, [2, 7, 8, 20, 37, 38]
248, 2005-04-14, [7, 12, 17, 19, 35, 42]
249, 2005-04-18, [10, 18, 19, 31, 36, 41]
250, 2005-04-21, [4, 11, 13, 19, 20, 37]
251, 2005-04-25, [8, 12, 14, 21, 24, 39]
252, 2005-04-28, [3, 9, 11, 15, 22, 32]
253, 2005-05-02, [3, 10, 19, 32, 33, 34]
254, 2005-05-05, [2, 19, 21, 29, 31, 33]
255, 2005-05-09, [5, 6, 22, 28, 33, 34]
256, 2005-05-12, [18, 23, 25, 26, 32, 34]
257, 2005-05-16, [2, 12, 19, 23, 32, 39]
258, 2005-05-19, [6, 7, 13, 26, 33, 35]
259, 2005-05-23, [6, 10, 12, 15, 30, 40]
260, 2005-05-26, [3, 12, 13, 18, 24, 34]
261, 2005-05-30, [2, 7, 11, 17, 21, 31]
262, 2005-06-02, [11, 14, 15, 23, 34, 42]
263, 2005-06-06, [15, 18, 21, 29, 35, 40]
264, 2005-06-09, [7, 8, 14, 32, 36, 38]
265, 2005-06-13, [4, 9, 15, 23, 34, 40]
266, 2005-06-16, [2, 5, 7, 18, 20, 31]
267, 2005-06-20, [9, 13, 26, 30, 38, 41]
268, 2005-06-23, [10, 22, 23, 28, 35, 38]
269, 2005-06-27, [1, 3, 12, 25, 29, 34]
270, 2005-06-30, [2, 5, 9, 19, 25, 33]
271, 2005-07-04, [3, 4, 15, 17, 22, 28]
272, 2005-07-07, [4, 7, 18, 28, 33, 36]
273, 2005-07-11, [15, 19, 21, 27, 31, 32]
274, 2005-07-14, [1, 11, 21, 24, 31, 41]
275, 2005-07-18, [11, 17, 19, 20, 34, 42]
276, 2005-07-21, [4, 13, 17, 23, 32, 39]
277, 2005-07-25, [7, 13, 16, 20, 23, 29]
278, 2005-07-28, [12, 20, 25, 28, 32, 34]
279, 2005-08-01, [9, 15, 24, 27, 28, 37]
280, 2005-08-04, [4, 13, 14, 21, 26, 37]
281, 2005-08-08, [5, 9, 16, 33, 35, 40]
282, 2005-08-11, [10, 14, 15, 33, 37, 42]
283, 2005-08-15, [6, 10, 12, 20, 25, 42]
284, 2005-08-18, [6, 9, 13, 31, 33, 35]
285, 2005-08-22, [3, 6, 12, 14, 19, 40]
286, 2005-08-25, [7, 13, 30, 35, 41, 42]
287, 2005-08-29, [15, 17, 24, 31, 36, 38]
288, 2005-09-01, [12, 21, 24, 25, 34, 35]
289, 2005-09-05, [9, 14, 19, 24, 26, 28]
290, 2005-09-08, [4, 8, 11, 30, 34, 39]
291, 2005-09-12, [2, 3, 5, 7, 38, 39]
292, 2005-09-15, [11, 21, 23, 25, 33, 37]
293, 2005-09-20, [4, 6, 8, 14, 17, 26]
294, 2005-09-22, [6, 9, 23, 37, 39, 42]
295, 2005-09-26, [8, 9, 26, 28, 33, 35]
296, 2005-09-29, [9, 16, 21, 22, 35, 41]
297, 2005-10-03, [7, 12, 13, 23, 24, 31]
298, 2005-10-06, [1, 10, 11, 15, 21, 31]
299, 2005-10-10, [19, 27, 28, 33, 37, 39]
300, 2005-10-13, [9, 22, 23, 31, 34, 40]
301, 2005-10-17, [5, 7, 13, 15, 30, 33]
302, 2005-10-20, [10, 23, 24, 26, 38, 40]
303, 2005-10-25, [23, 24, 25, 32, 34, 38]
304, 2005-10-27, [3, 7, 20, 26, 32, 35]
305, 2005-10-31, [11, 20, 23, 38, 40, 42]
306, 2005-11-03, [5, 12, 16, 17, 18, 27]
307, 2005-11-07, [3, 17, 21, 26, 29, 34]
308, 2005-11-10, [5, 12, 16, 29, 37, 38]
309, 2005-11-14, [1, 7, 10, 24, 30, 40]
310, 2005-11-17, [4, 6, 8, 9, 23, 31]
311, 2005-11-21, [4, 13, 24, 28, 31, 42]
312, 2005-11-24, [15, 17, 23, 24, 27, 28]
313, 2005-11-28, [8, 10, 25, 28, 29, 39]
314, 2005-12-01, [8, 9, 17, 32, 36, 40]
315, 2005-12-05, [8, 11, 12, 19, 35, 41]
316, 2005-12-08, [6, 7, 11, 20, 23, 25]
317, 2005-12-14, [7, 12, 16, 30, 40, 42]
318, 2005-12-15, [7, 9, 15, 18, 36, 39]
319, 2005-12-19, [3, 18, 25, 29, 38, 41]
320, 2005-12-22, [1, 9, 14, 15, 26, 33]
321, 2005-12-26, [5, 10, 12, 13, 21, 40]
322, 2005-12-29, [23, 24, 25, 30, 36, 42]


Content of 2006.txt:
323, 2006-01-02, [16, 22, 23, 25, 28, 40]
324, 2006-01-05, [22, 23, 24, 26, 36, 39]
325, 2006-01-09, [2, 10, 13, 30, 37, 38]
326, 2006-01-12, [4, 17, 25, 33, 35, 40]
327, 2006-01-16, [3, 8, 20, 27, 32, 37]
328, 2006-01-19, [4, 16, 32, 33, 36, 39]
329, 2006-01-23, [3, 25, 27, 28, 36, 38]
330, 2006-01-26, [8, 21, 27, 32, 38, 42]
331, 2006-01-30, [5, 14, 18, 24, 37, 42]
332, 2006-02-02, [4, 7, 17, 29, 32, 39]
333, 2006-02-08, [1, 8, 11, 12, 28, 30]
334, 2006-02-09, [4, 11, 12, 16, 35, 40]
335, 2006-02-13, [1, 3, 12, 26, 39, 41]
336, 2006-02-16, [10, 16, 17, 22, 23, 34]
337, 2006-02-20, [14, 19, 28, 36, 40, 41]
338, 2006-02-23, [7, 8, 17, 18, 34, 36]
339, 2006-02-27, [10, 22, 30, 35, 38, 39]
340, 2006-03-02, [5, 17, 18, 20, 27, 30]
341, 2006-03-06, [6, 18, 26, 27, 28, 39]
342, 2006-03-09, [1, 4, 6, 13, 38, 41]
343, 2006-03-13, [5, 8, 9, 19, 24, 42]
344, 2006-03-16, [5, 10, 13, 16, 20, 31]
345, 2006-03-20, [11, 22, 23, 27, 32, 40]
346, 2006-03-23, [1, 6, 11, 19, 24, 31]
347, 2006-03-27, [6, 23, 31, 33, 36, 40]
348, 2006-03-30, [2, 16, 24, 25, 27, 28]
349, 2006-04-03, [14, 18, 19, 31, 35, 41]
350, 2006-04-06, [5, 6, 13, 21, 34, 37]
351, 2006-04-10, [5, 10, 15, 21, 26, 38]
352, 2006-04-13, [9, 18, 24, 34, 41, 42]
353, 2006-04-17, [13, 26, 31, 39, 40, 42]
354, 2006-04-20, [6, 8, 10, 21, 25, 42]
355, 2006-04-24, [2, 9, 15, 16, 17, 22]
356, 2006-04-27, [8, 22, 25, 32, 35, 41]
357, 2006-05-01, [2, 5, 15, 18, 28, 29]
358, 2006-05-04, [3, 5, 11, 18, 22, 31]
359, 2006-05-08, [2, 21, 22, 28, 32, 42]
360, 2006-05-11, [2, 8, 16, 25, 29, 33]
361, 2006-05-15, [6, 14, 19, 23, 24, 26]
362, 2006-05-18, [2, 15, 24, 26, 28, 30]
363, 2006-05-22, [3, 7, 22, 23, 29, 40]
364, 2006-05-26, [17, 18, 23, 28, 33, 38]
365, 2006-05-29, [1, 2, 5, 24, 32, 36]
366, 2006-06-01, [12, 21, 24, 30, 31, 32]
367, 2006-06-05, [3, 13, 17, 25, 30, 31]
368, 2006-06-08, [1, 10, 11, 16, 26, 33]
369, 2006-06-12, [6, 16, 18, 25, 27, 39]
370, 2006-06-15, [1, 4, 14, 21, 39, 41]
371, 2006-06-19, [6, 14, 24, 35, 37, 41]
372, 2006-06-23, [1, 2, 3, 14, 24, 38]
373, 2006-06-26, [5, 10, 21, 23, 31, 39]
374, 2006-06-29, [11, 15, 19, 21, 29, 34]
375, 2006-07-03, [3, 11, 12, 19, 22, 39]
376, 2006-07-06, [5, 15, 25, 28, 32, 37]
377, 2006-07-10, [7, 10, 35, 40, 41, 42]
378, 2006-07-13, [5, 6, 7, 12, 19, 40]
379, 2006-08-17, [1, 4, 7, 11, 12, 32]
380, 2006-08-17, [1, 4, 7, 11, 12, 32]
381, 2006-08-17, [1, 4, 7, 11, 12, 32]
382, 2006-08-17, [1, 4, 7, 11, 12, 32]
383, 2006-08-17, [1, 4, 7, 11, 12, 32]
384, 2006-08-17, [1, 4, 7, 11, 12, 32]
385, 2006-08-17, [1, 4, 7, 11, 12, 32]
386, 2006-08-17, [1, 4, 7, 11, 12, 32]
387, 2006-08-17, [1, 4, 7, 11, 12, 32]
388, 2006-08-17, [1, 4, 7, 11, 12, 32]
389, 2006-08-21, [14, 32, 35, 37, 39, 40]
390, 2006-08-24, [6, 13, 15, 25, 28, 33]
391, 2006-08-28, [5, 11, 18, 20, 25, 32]
392, 2006-08-31, [12, 21, 22, 23, 39, 42]
393, 2006-09-04, [3, 19, 22, 25, 26, 33]
394, 2006-09-07, [3, 7, 8, 9, 11, 30]
395, 2006-09-11, [7, 10, 17, 19, 21, 23]
396, 2006-09-14, [2, 6, 18, 19, 29, 34]
397, 2006-09-18, [8, 11, 12, 17, 21, 31]
398, 2006-09-21, [6, 15, 16, 19, 25, 32]
399, 2006-09-25, [6, 8, 9, 27, 28, 30]
400, 2006-09-28, [8, 19, 20, 25, 27, 41]
401, 2006-10-02, [1, 6, 9, 15, 23, 35]
402, 2006-10-05, [17, 23, 28, 31, 32, 41]
403, 2006-10-09, [2, 7, 8, 14, 26, 28]
404, 2006-10-12, [12, 16, 17, 19, 20, 37]
405, 2006-10-16, [12, 25, 26, 27, 37, 40]
406, 2006-10-19, [6, 18, 19, 21, 28, 34]
407, 2006-10-23, [9, 10, 17, 18, 20, 31]
408, 2006-10-26, [1, 7, 8, 17, 20, 39]
409, 2006-10-30, [1, 11, 26, 28, 30, 33]
410, 2006-11-02, [6, 7, 12, 24, 25, 28]
411, 2006-11-06, [12, 14, 16, 17, 19, 24]
412, 2006-11-09, [2, 8, 12, 15, 19, 38]
413, 2006-11-13, [2, 6, 7, 22, 30, 36]
414, 2006-11-16, [6, 14, 20, 34, 40, 41]
415, 2006-11-21, [4, 5, 7, 10, 14, 27]
416, 2006-11-25, [1, 4, 13, 20, 33, 38]
417, 2006-11-27, [8, 11, 14, 18, 30, 41]
418, 2006-11-30, [8, 36, 38, 39, 40, 41]
419, 2006-12-04, [1, 8, 13, 14, 31, 34]
420, 2006-12-07, [9, 28, 35, 37, 38, 41]
421, 2006-12-11, [1, 5, 20, 26, 29, 39]
